																Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																Type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Fill %	MS/MS included	INCHIKEY	SMILES	LINK	Isotope parent ID	Isotope weight number	Dot product	Reverse dot product	Fragment presence %	Spectrum reference file name	MS/MS spectrum	M	M	M	M	M	N	N	N	N	N	S 	S 	S 	S 	S 
406	5.32	558.4658	Ceramide (d33:1) [M+Cl]-_QBFXCLDNTKBAPQ-STSAHMJASA-N	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		3417.696	5338.184	2137	6435.934	4892.587	5287.353	4825.461	6529.22	4878.67	6832.876	6116.278	4130.285	3280.257	4542.603	3555.203
423	5.66	582.5114	Ceramide (d33:1) [M+HAc-H]-_QBFXCLDNTKBAPQ-STSAHMJASA-N	[M-H]-	0.8	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7230_013		794	5394.794	710	11408.31	13087.26	5647.439	4252.277	10878.01	8590.095	9452.258	16574.3	6360.628	1089	10196.35	4252.383
417	5.66	572.4828	Ceramide (d34:1) [M+Cl]- _YDNKGFDKKRUKPY-TURZORIXSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		8206.56	20073.75	6003.597	27225.38	43964	19994.34	17950.66	24773.35	31843.82	31588.13	53435.82	31770.37	10686.72	43266.96	20994.29
437	5.66	596.5256	Ceramide (d34:1) [M+HAc-H]- _YDNKGFDKKRUKPY-TURZORIXSA-N	[M+Hac-H]-	0.4666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		829	1791	552	5764.749	5439.707	1696	1353	7044.811	3705.368	4590.502	7693.898	2056	723	3976.004	1573
438	6	596.5291	Ceramide (d34:1) [M+HAc-H]- _YDNKGFDKKRUKPY-TURZORIXSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_5148_009		425179.2	519216.6	437175.9	520078	467262.5	456653.7	484944.6	519040.6	455438.2	544618.4	518889.2	460411.4	473485.4	514501.4	473016
445	6.36	600.5137	Ceramide (d36:1) [M+Cl]-_MJQIARGPQMNBGT-WWUCIAQXSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		5130.147	9136.477	6061.679	7852.556	20002.04	6287.097	8676.952	20860.14	10962.56	19624.87	26027.82	12644.52	8150.574	18032.41	6473.597
471	7.05	628.5435	Ceramide (d38:1) [M+Cl]-_XWBWIAOWSABHFI-NUKVNZTCSA-N	[M-H]-	0.3333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7042_014		565	1036	467	2541	3822.012	918	937	5740.14	2288	4022.549	5240.711	1522	714	3253.981	1479
491	7.73	656.5751	Ceramide (d40:1) [M+Cl]-_KEPQASGDXIEOIL-GLQCRSEXSA-N	[M-H]-	0.4	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7230_013		776	2075	507	3199	4603.265	2420	1199	10551.95	3845.657	5162.873	6101.972	1372	597	3982.16	2441
508	8.37	684.6069	Ceramide (d42:1) [M+Cl]-_ZJVVOYPTFQEGPH-AUTSUKAISA-N	[M-H]-	0.6	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		802	3182.854	327	5642.032	5889.809	1646	1912	15421.57	4874.96	5556.153	7777.384	1859	1076	5929.171	4870.866
506	7.71	682.5924	Ceramide (d42:2) A [M+Cl]- _VJSBNBBOSZJDKB-KPEYJIHVSA-N	[M-H]-	0.8	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		877	4124.41	649	5236.653	6555.02	5425.513	3531.999	13111.14	6928.741	6393.117	9536.443	5838.033	1533	9440.102	4420.518
184	3.11	367.2585	CSH_negESI #014	[M-H]-	0.7333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		55362.57	38394.08	63010	89571.13	45543	64256.5	64124.72	65068.74	81856.05	82900.13	60687.34	63985.23	48888	57956	39236.47
138	0.54	329.2346	CSH_negESI #131	[M-H]-	0.6	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal 7295_012		9911.866	8142.402	6989.105	17285	7034.639	5351.022	5985	6196	6733.477	7924.165	7670	27976	6321.629	19610	28001.09
133	0.91	325.1848	CSH_negESI #223	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7042_014		20244.56	27438.78	20217.05	20913.05	22009.05	26220.56	8867.038	9715.179	12276.09	16501.32	20254.01	44059.48	32272.03	29008.12	45989.45
134	3.16	325.1842	CSH_negESI #223	[M+Hac-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		4908.494	4343.126	3494.929	4903.667	3751.23	3896.596	4218.632	4717.564	3795.769	4260.68	3875.01	4435.472	4206.92	4438.621	4624.071
135	0.76	325.185	CSH_negESI #223	[M+Hac-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		451734.7	347853.3	330760.8	440572.3	188634	396626.4	182847.3	125667.8	267148.2	145426.5	298639.1	1159211	569580.5	359569.9	430645.1
145	1.07	339.201	CSH_negESI #223	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7042_014		33071.59	43779.22	31590.86	29868.53	36889.71	43248.3	14289.24	15651.08	20875.2	24919.12	32665.17	62854.52	30916	36140.88	60865.83
146	0.77	339.1997	CSH_negESI #223	[M-H]-	0.8666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		54818.05	28811.67	35844	117325.3	40267.55	37273.43	15276.8	20010.64	20454.62	12835.55	28524	261494.5	56575.76	108504.4	176143.5
648	4.86	846.5477	CSH_negESI #413	[M-H]-	0.6	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7230_013		552	3650.046	113	3932.998	3409.977	3256.512	3375.973	3613.413	3484.435	3694.587	3210.565	2509	579	2160	1698
668	2.52	894.5503	CSH_negESI #415	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		73796.71	8336.01	8682.274	14894.79	6535.419	7463.251	7231.053	10139.21	7602.734	10298.58	6204.218	8265.038	9844.668	8426.132	8157.482
276	3.65	445.2397	CSH_negESI #510	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		30907.77	28754.12	22839.56	28101.64	25395.45	24851.99	27842.53	29804.44	26724.09	31902.51	29504.3	26598.61	26036.14	27705.37	27267.87
428	5	588.3305	CSH_negESI #522	[M-H]-	0.4666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7042_014		19863.9	13584	8501	16505	13996	17392.07	11395	22723.87	12190	24179.04	20385.69	17121.45	10030	19025.64	13945
509	6.29	685.5262	CSH_negESI #569	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_6816_008		11457.76	10864.23	9848.894	10558.02	9615.747	9177.495	9820.024	10329.07	9449.591	11138.04	9681.58	10264.08	9950.782	10426.99	10660.45
660	3.93	881.5195	CSH_negESI #572	[M-H]-	0.4666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		299	4491.085	172	7795.5	3646.439	6050.474	2100	10060.86	3423.751	5978.191	3154	2597	289	2485	1536
