row ID,row m/z,row retention time,row comment,row number of detected peaks,All identity elements,ID,Identification method,Molecular formula,Name,M,M,M,M,M,N,N,N,N,N,S,S,S,S,S
17,586.4988078,6.00218,,15,,1_ISTD Ceramide (d18:1/17:0) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,451022.4375,452345.375,386368.75,458739.5313,392111.75,414159.625,432824.2813,465145.5,409030.8125,508613.1563,451566.3438,399205.375,404423.7188,428543.9063,401053.375
7,610.5431091,5.994442222,,15,,1_ISTD Ceramide (d18:1/17:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,1344304.625,1159807.625,969179.0625,1259670.25,956451.1875,888149.4375,1054169.375,1131277.5,1012907.813,1369011.375,1142146.625,999172.3125,1031564.875,1122896.375,1045024.188
96,339.2654768,0.585419048,,13,,1_ISTD CUDA [M-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,42469.10938,38987.23438,33196.54297,0,36499.05859,34647.12891,32590.375,36995.69531,37719.13672,41569.34766,40296.74609,83225,34333.60156,81935.24219,89870.27344
70,568.3628601,1.826117778,,15,,1_ISTD LPC (17:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,78005.42188,71761.61719,58484.26563,72958.04688,66243.97656,64455.78516,68326.24219,74381.125,66652.08594,87736.67969,74502.46875,65691.375,68038.05469,77995.75,68348.07813
65,464.2792063,1.330847778,,15,,1_ISTD LPE (17:1) [M-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,79801.0625,83055.25781,63955.55078,98760.72656,89514.22656,70081.85938,72081.33594,93944.24219,68837.55469,101735.0781,85881.16406,83620.58594,76159.375,110334.0703,85251.34375
2,403.3073273,3.04328,,15,,1_ISTD MAG (17:0/0:0/0:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,2792417,2577017.5,2237012.5,2600327.25,2385955.5,2331914.25,2443434.5,2621950,2309911.25,2795025,2576756.75,2391699.5,2418292.75,2549905,2348847.75
267,694.4666199,3.516438889,,15,,1_ISTD PC (12:0/13:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,12613.06055,11536.54395,9159.196289,12018.94824,11434.24805,10458.85156,11398.1748,12167.51563,10703.2793,14299.46484,11518.88965,10096.41113,10906.72168,10743.60156,10097.02148
57,718.5405294,6.296803333,,15,,1_ISTD PE (17:0/17:0) [M-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,94741.47656,89009.73438,81835.54688,122962.5703,94948.17188,96818.75781,98683.19531,112362.3281,83533.6875,110549.5703,105753.4297,94525.25,108647.1719,133733.4531,102620.9922
9,749.5349365,5.070787778,,15,,1_ISTD PG (17:0/17:0) [M-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,769163.4375,645546.9375,582556.5625,735176.375,600288.9375,616480.3125,620434.3125,729490.8125,605564.1875,723232.3125,647935.625,591022,619101.375,629943.9375,601564.3125
852,775.5587868,5.150943333,,12,,1_ISTD SM (d18:1/17:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,10450.12988,168125.8281,7831.899414,333922.5625,127769.8984,201469.4688,159469.3438,389439.8438,231218.625,303659.0313,209768.5781,76209.75781,10426.55078,66343.40625,50278.41797
549,558.4660482,5.324505556,,15,,Ceramide (d33:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,3417.613281,5490.067383,3042.964844,6502.849121,4971.064453,5543.129395,5148.481934,6996.107422,4909.65918,7044.919922,6612.67041,4210.573242,3384.031494,4690.900879,3614.091797
1081,582.510775,5.655053333,,11,,Ceramide (d33:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,929.6005859,5570.707031,710.1729126,11611.47656,13154.21973,5853.588379,4337.424316,11163.64551,8942.646484,9771.959961,16671.71094,6384.757813,1447.630127,10663.86816,4337.696289
1872,582.5099126,5.320637778,,1,,Ceramide (d33:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,2108.059326,2356.322754,1772.098877,2744.083008,2186.750732,2149.240723,2070.428467,2949.448975,1984.251221,2973.834717,2637.071777,2009.474365,2004.254395,2294.321533,1996.635864
376,598.5202549,5.92811,,10,,Ceramide (d34:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,6979.757813,12386.05176,5990.111816,44793.46484,9984.873047,16041.7168,8484.004883,7820.520996,36518.30469,49398.50781,41740.61328,14214.9873,37773.55859,12207.38867,12365.9375
373,572.4820028,5.662237778,,15,,Ceramide (d34:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,8930.076172,20428.75,6050.417969,27434.80273,44865.54688,20606.62109,18665.12695,25423.41602,33517.73438,32203.79297,54973.20703,32424.35742,10979.56348,44600.89453,21659.46484
14,596.5278503,6.00439,,15,,Ceramide (d34:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,430997.4063,526640.75,443095,527518.5,472563.375,464426.9688,493150.125,520869.0625,463024.6563,555981.4375,525753.9375,464426.0313,481366.75,523170.125,483021.3125
1446,596.52582,5.657816667,,4,,Ceramide (d34:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,931.7836304,2342.336914,805.4099731,5843.347656,5638.090332,2390.337158,1892.770508,6905.400879,3877.44751,4801.717773,7832.608887,2850.007324,1052.453735,4204.807129,1920.163574
363,600.513267,6.362024444,,15,,Ceramide (d36:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,5281.306641,9350.036133,6312.720215,14667.42285,21103.99219,8851.224609,9037.638672,21330.51367,14885.19043,20156.08203,27408.39648,12948.56543,8638.105469,18702.64648,8182.319824
1274,624.5588359,6.356310606,,3,,Ceramide (d36:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,1131.02478,1102.011963,0,2357.743896,2287.041748,2187.003174,0,3005.38623,1564.531738,2336.976563,2873.716064,1296.298706,0,2705.54541,0
1460,628.5433006,7.052411111,,6,,Ceramide (d38:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,1054.580811,1660.733276,875.5318604,3009.897949,4117.222656,6703.095215,1294.045166,6118.018066,3114.553467,4218.27002,5391.918945,2050.424561,1144.414917,3561.775635,1705.380249
1229,656.5700562,7.675915556,,7,,Ceramide (d40:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,1913.824463,2540.44458,1710.964355,14607.90918,4807.258789,2420.516113,2070.197266,10790.34473,3982.804443,5397.480469,6334.163574,2174.046143,1853.05542,4099.114258,2848.056885
368,654.5801758,7.296735556,,15,,Ceramide (d40:2) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,6171.001953,7415.283691,6156.046387,7958.776855,5957.310547,7588.33252,5866.29541,7522.862305,7381.541504,8232.708008,6951.305664,7984.799805,6472.138672,6426.74707,10422.43262
1546,670.5872369,8.112598889,,3,,Ceramide (d41:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,949.0279541,1120.773193,750.5236206,70208.92188,2179.449219,72769.23438,919.2965088,5699.774414,1604.56543,2337.500732,2358.431396,1002.00769,657.1617432,2307.617432,2005.755005
1584,694.6365019,8.369115278,,1,,Ceramide (d41:1) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,0,902.390686,0,1734.459473,1563.75354,689.3395996,921.3668213,3807.580322,1276.929932,1332.919678,2076.588867,782.8979492,0,1589.943848,1593.229248
1112,684.6028381,8.334254444,,8,,Ceramide (d42:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,1822.064453,3326.684326,1694.001343,7492.913574,6030.683105,2930.265137,2774.881104,15562.54004,5115.480469,5697.269043,7900.192871,2849.297363,1740.360962,6117.004395,4903.759277
1775,682.5917721,7.703942857,,4,,Ceramide (d42:2) [M+Cl]- A,Lipid Database_NEG Updated Method_1.0.csv,,,988.3772583,4336.458008,0,9260.84668,6365.207031,5522.007324,3625.962158,13438.35938,7266.120117,6660.420898,10044.90332,5667.975098,1533.022217,10284.43359,4461.401367
1268,706.6310567,7.661134615,,3,,Ceramide (d42:2) [M+HAc-H]- A,Lipid Database_NEG Updated Method_1.0.csv,,,0,1151.04541,0,2455.687744,1705.653076,1484.686768,1047.800659,3432.067871,1891.182129,1980.846436,2906.666992,1675.95874,564.753418,2827.375977,1425.325562
66,367.2451899,3.129516667,,2,,CSH_negESI #014,Lipid Database_NEG Updated Method_1.0.csv,,,58288.98047,61388.00391,63010.24609,90476.89063,58223.21875,65806.11719,65811.46094,66215.02344,83118.0625,86497.19531,61781.89844,65147.46094,59398.73047,58375.72266,60493.56641
1293,367.2449239,2.911735556,,4,,CSH_negESI #014,Lipid Database_NEG Updated Method_1.0.csv,,,58288.98047,61388.00391,63010.24609,90476.89063,10781.89648,12672.34863,65811.46094,12273.81934,83118.0625,35758.6875,12645.67383,65147.46094,59398.73047,58375.72266,60493.56641
1558,711.6282384,8.366355556,,1,,CSH_negESI #113,Lipid Database_NEG Updated Method_1.0.csv,,,0,1018.113647,0,2120.693115,1938.716309,1049.117676,1040.747925,4773.119141,1581.290039,1674.29126,2391.851563,994.0489502,0,2009.075073,1850.906372
658,329.2344329,0.541008333,,7,,CSH_negESI #131,Lipid Database_NEG Updated Method_1.0.csv,,,10123.48145,8373.693359,7380.575195,0,7220.969238,5740.116699,7268.603516,6760.995605,6946.511719,8256.393555,8921.429688,29811.55273,6267.022949,21006.23438,29373.56445
1252,709.6105164,7.712720833,,5,,CSH_negESI #378,Lipid Database_NEG Updated Method_1.0.csv,,,0,1367.148315,0,2929.230957,2477.617188,1879.062378,1197.633179,4778.001953,2208.095703,1817.444214,3113.975098,2291.108154,0,3179.253906,1560.993652
1395,759.5223438,4.418211667,,3,,CSH_negESI #405,Lipid Database_NEG Updated Method_1.0.csv,,,0,1418.954224,0,5411.935059,1893.149292,2588.037354,1737.889648,5610.185547,2406.036377,2834.541748,2212.482666,900.2963867,0,0,0
1388,275.1360212,0.749413889,,2,,CSH_negESI #504,Lipid Database_NEG Updated Method_1.0.csv,,,1609.337646,2776.362549,974.6401367,0,1398.200317,2733.707031,4193.664551,1261.026001,3743.27832,1347.717407,2702.480225,1725.625977,1244.124512,0,0
727,417.248928,0.534888889,,3,,CSH_negESI #507,Lipid Database_NEG Updated Method_1.0.csv,,,4745.664063,4528.75,4171.112793,461.678772,5666.389648,2979.52832,3887.781738,6351.907227,3233.475586,5070.331055,5850.32666,3246.92041,3825.202881,3864.025146,2805.129883
313,445.2024041,0.726686667,,11,,CSH_negESI #510,Lipid Database_NEG Updated Method_1.0.csv,,,10617.86035,8819.154297,7350.03125,11608.24707,7580.007324,7267.053711,11879.79297,9106.294922,14141.80176,10662.21777,7427.886719,13971.38477,7476.314453,10927.96582,9943.447266
674,445.2644041,0.654907692,,2,,CSH_negESI #510,Lipid Database_NEG Updated Method_1.0.csv,,,7220.265625,1545.359375,9011.095703,440.075592,3185.327881,475.0296021,1360.44104,1624.653809,0,2079.502197,2313.229736,0,6707.810547,2028.094727,4412.265137
303,505.3752787,3.21354,,12,,CSH_negESI #550,Lipid Database_NEG Updated Method_1.0.csv,,,8924.132813,8091.558594,7800.451172,7384.04834,7273.758301,8027.560059,7605.980469,9583.017578,8689.386719,7367.004395,7209.108398,7464.256348,7671.657227,4590.911133,7168.666992
1426,774.5368271,4.292903846,,3,,CSH_negESI #584,Lipid Database_NEG Updated Method_1.0.csv,,,1046.816895,36594.25,0,110579.7813,23229.01563,49812.10938,28739.00586,91727.14063,52304.52344,47035.65234,42138.16016,11380.31152,0,24218.77734,7682.125488
666,790.5607511,4.95471,,14,,CSH_negESI #589,Lipid Database_NEG Updated Method_1.0.csv,,,8387.666992,55796.9375,1191.988647,71273.10938,40116.48828,72703.82813,53042.89844,47258.1875,66500.10938,42225.18359,41010.88672,42526.11328,4935.785156,31020.20117,27603.2832
918,814.5598648,4.765539744,,9,,CSH_negESI #590,Lipid Database_NEG Updated Method_1.0.csv,,,0,3830.22168,0,11377.80469,4290.355957,4334.713867,6587.710938,8176.879395,5688.835449,9456.083984,9328.556641,2191.895752,816.6687622,3322.78418,2396.790283
908,840.5755535,4.704314103,,10,,CSH_negESI #591,Lipid Database_NEG Updated Method_1.0.csv,,,0,4774.078613,0,13867.10547,7486.875488,4648.03125,7264.003418,15623.46875,5321.897461,12483.72461,11897.51367,2001.000244,649.0505981,4949.512207,4909.112305
916,840.5758363,4.988529762,,13,,CSH_negESI #591,Lipid Database_NEG Updated Method_1.0.csv,,,1442.132568,6944.660156,0,8183.520508,12143.96289,7027.427246,6621.439453,21300.1543,5813.145508,10871.53711,10702.91602,6310.621094,2623.140869,7265.653809,14321.83887
776,863.5656758,4.997822222,,14,,CSH_negESI #602,Lipid Database_NEG Updated Method_1.0.csv,,,3434.065918,28867.56836,1588.149658,76275.26563,24567.88477,28374.21289,17938.45313,81532.17188,26280.64258,34390.47266,27969.78516,11230.22656,3998.0271,22233.43945,9363.697266
